stars,date,comment
5,12 maggio 2023,Super che dire pesce fresco pulizia super,molto accogliente porzioni abbondanti,e molto asciutto.vista paura proprio difronte al mare.
5,7 maggio 2023,Personale molto accogliente e gentile. Ci siamo sentiti a casa. Vi invito ad assaggiare gli gnocchi fatti in casa..squisiti! Ottima frittura mista di pesce e dolcetti buoni e originali. Grazie
5,29 aprile 2023,Cibo di alta qualità e personale molto gentile ed amichevole, oltre che accogliente.   Lo consiglio vivamente !!!!!!!!
1,24 aprile 2023,All’ingresso buona accoglienza dal cameriere, poi però ci hanno parcheggiato da un lato e dimenticato di noi, dopo 30 minuti siamo riusciti ad ordinare , dopo altri 30 minuti arrivano 2 dei 6 piatti ordinati, poi altri 2 piatti (pasta senza sale) , poi dopo...altri 20 minuti gli ultimi 2 , la fornarina ordinata non è più arrivata . All’uscita (penso la proprietaria) ci ha chiesto se è andato tutto bene abbiano annuito si ma poteva andare meglio ,ha trovato una scusa che non esiste (non hanno messo l’urgenza) però devo dire che ci ha fatto 20 euro di sconto . Posto sul mare quindi bel panorama , i secondi di pesce erano buoni, i primi meglio evitare ,  attesa troppo lunga e servizio inesistente .Più
5,11 aprile 2023,Cercavamo un posto dove mangiare a pranzo e abbiamo trovato questo ristorante molto accogliente, all’entrata la signora che c’era alla cassa è stata molto gentile. Un grande complimento va dedicato al Cameriere molto professionale potrebbe essere un maitre, curava il servizio in maniera impeccabile con...attenzione e riguardo verso la spiegazione dei piatti, si vedeva che aveva molta esperienza. Ordiniamo due fritti misti e due spritz tutto molto buono non abbiamo aspettato tanto il servizio era molto veloce.  Consiglio vivamente di andare a provare questo ristorante. Ci torneremo sicuramente. 😃Più
5,9 aprile 2023,Ottimo ristorante, gentilissimi ottima la cucina e il prezzo giusto per essere Pasqua. Personale molto professionale
5,9 aprile 2023,Locale accogliente personale molto carino e gentile, cucina eccellente e piatti abbondanti,pesce freschissimo cucinato al momento e prezzo  onesto, lo consiglio
4,24 marzo 2023,Sempre livello alto, sia nella qualità del cibo che nella gentilezza e accoglienza. Locale pulito e ben tenuto. Che dire, se siete in zona fermatevi.
5,19 novembre 2022,Stasera ho cenato con amici in questo bellissimo ristorante. Siamo stati davvero bene: il pesce era  fresco e le porzioni super abbondanti. Ma oltre al cibo, davvero eccellente, mi ha colpito la gentilezza del personale e l'atmosfera calda e familiare che si respira all'interno di...questa meravigliosa terrazza dei sogni. Ci ritornerò sicuramente!! ☺️Più
4,5 novembre 2022,Vicino al mare sul viale principale, bel locale ampio. Ingredienti freschi con piatti di qualità cucinati al momento. Consigliato!
5,10 settembre 2022,Siamo entrati con diffidenza massima in quanto, forse a causa dell’orario il ristorante si presentava vuoto, e siamo stati accolti da personale di sala e dalla proprietaria con un incredibile gentilezza e professionalità. I piatti sono stati tutti eccellenti ( tagliata di salumi e formaggi...Più
3,9 settembre 2022,Locale abbastanza  grande sulla strada prospicente il lungomare. Menu' abbastanza vario, ance se non amplissimo Buona la qualita' del cibo. Servizio cordiale. Prezzi onesti
3,29 agosto 2022,In questo ristorante,  ho fatto 2 pranzi in quanto convenzionato con l’hotel Palm Beach adiacente , le cameriere gentilissime , la cucina buona , piccolo menù per gli ospiti dell’ hotel con scelta tra antipasti , primi o secondi o pizza . Io ho scelto...Più
3,22 agosto 2022,Location molto carina , situata davanti al lungomare di Rimini.  Personale molto disponibile, ma non siamo rimasti tanto contenti per quanto riguarda la lentezza nel servizio e soprattutto la tagliata di carne.
5,13 agosto 2022,Abbiamo pranzato in questo ristorante oggi 1 giorno all hotel Palm Beach e devo dire che il ristorante è carino arredamento particolare marinaro luminoso personale molto accogliente il cibo di ottima qualità e abbondante i dolci della casa il prezzo e adeguato alla qualità allego...Più
1,27 luglio 2022,Le ragazze in sala molto gentili.La signora alla cassa  meglio che cambi mestiere...!!!!!!Cafona ai massimi livelli !!!!
5,17 luglio 2022,Sono stata pranzo Nonostante il caldo pesante, l'ambiente è ventilato e si stava da dio Personale cortese e tanta gentilezza La frittura di pesce da 10 Come si fa a non ritornarci?
5,15 luglio 2022,Sono stata oggi in questo ristorante con il mio ragazzo, devo dire  eccezionale! Porzioni molto abbondanti non siamo riusciti a finire il secondo! Una peculiarità inoltra con l'antipasto tavolozza di mare portano non solo le cozze ma anche una ciotola piena di vongole! Tutto molto...Più
5,12 luglio 2022,ottima cucina, personale cordiale e cortese, ritorneremo senz'altro. consigliamo a chiunque di andare qui. ad maiora!
5,6 luglio 2022,Pesce fresco, prezzi onesti, location molto piacevole, gente simpatica e cortese. Più di così... io non chiederei. Consigliato
3,22 maggio 2022,Le tre stelle sono soltanto per il riso ai frutti di mare che era immangiabile a causa della quantità di sale che lo ha reso immangiabile, essendo quella la portata primaria mia e di mia moglie alla fine lo abbiamo consumato lo stesso (forse commettendo...Più
